exam_type,year,college_code,college_name,course_code,course_name,category,total_seats,category_seats,tuition_fee,other_fee,total_fee,closing_rank_mock,closing_rank_r1,closing_rank_r2,closing_rank_r3,closing_rank_r4
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",CD,Computer Science & Engineering (Data Science),KKR,36,3,175000,20000,195000,,87495,,,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",CI,Computer Science & Engineering (Artificial & Machine Learning),GM,54,49,200000,20000,220000,83269,62210,,111096,110976
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",CI,Computer Science & Engineering (Artificial & Machine Learning),KKR,54,5,200000,20000,220000,92917,92917,,,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",CS,Computer Science & Engineering,GM,162,149,200000,20000,220000,,67547,,109518,102932
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",CS,Computer Science & Engineering,KKR,162,13,200000,20000,220000,,108388,108388,,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",CV,Civil Engineering,GM,9,8,125000,20000,145000,93784,107819,,,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",CV,Civil Engineering,KKR,9,1,125000,20000,145000,,,,,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",EC,Electronics & Communication Engineering,GM,54,49,175000,20000,195000,111162,86989,,62066,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",EC,Electronics & Communication Engineering,KKR,54,5,175000,20000,195000,,,,,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",EE,Electrical & Electronics Engineering,GM,9,8,125000,20000,145000,,107250,,70900,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",EE,Electrical & Electronics Engineering,KKR,9,1,125000,20000,145000,,,,,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",ME,Mechanical Engineering,GM,9,8,125000,20000,145000,103137,103137,,,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",ME,Mechanical Engineering,KKR,9,1,125000,20000,145000,,,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",AD,Artificial Intelligence & Data Science,GM,18,16,199138,20000,219138,,95863,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",AD,Artificial Intelligence & Data Science,KKR,18,2,199138,20000,219138,,,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",CS,Computer Science & Engineering,GM,54,49,199138,20000,219138,,110388,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",CS,Computer Science & Engineering,KKR,54,5,199138,20000,219138,,,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",CV,Civil Engineering,GM,9,8,199138,20000,219138,,,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",CV,Civil Engineering,KKR,9,1,199138,20000,219138,,,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",EC,Electronics & Communication Engineering,GM,18,16,199138,20000,219138,104692,104692,,107672,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",EC,Electronics & Communication Engineering,KKR,18,2,199138,20000,219138,,,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",EE,Electrical & Electronics Engineering,GM,9,8,199138,20000,219138,,,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",EE,Electrical & Electronics Engineering,KKR,9,1,199138,20000,219138,,,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",ME,Mechanical Engineering,GM,18,16,199138,20000,219138,,,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",ME,Mechanical Engineering,KKR,18,2,199138,20000,219138,,,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",RA,Robotics & Automation,GM,9,8,199138,20000,219138,,,,,
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",RA,Robotics & Automation,KKR,9,1,199138,20000,219138,,,,,
COMEDK,2025,E011,"APS College of Engineering-Kanakapura Road, Bengaluru",CI,Computer Science & Engineering (Artificial & Machine Learning),GM,9,8,200000,12110,212110,75328,73500,,94218,
COMEDK,2025,E011,"APS College of Engineering-Kanakapura Road, Bengaluru",CI,Computer Science & Engineering (Artificial & Machine Learning),KKR,9,1,200000,12110,212110,,,,,
COMEDK,2025,E011,"APS College of Engineering-Kanakapura Road, Bengaluru",CS,Computer Science & Engineering,GM,36,32,200000,12110,212110,,99522,,41643,
COMEDK,2025,E011,"APS College of Engineering-Kanakapura Road, Bengaluru",CS,Computer Science & Engineering,KKR,36,4,200000,12110,212110,,,,,
COMEDK,2025,E011,"APS College of Engineering-Kanakapura Road, Bengaluru",CY,Computer Science & Engineering (Cyber Security),GM,9,8,200000,12110,212110,59028,106002,,,
COMEDK,2025,E011,"APS College of Engineering-Kanakapura Road, Bengaluru",CY,Computer Science & Engineering (Cyber Security),KKR,9,1,200000,12110,212110,,,,,
COMEDK,2025,E011,"APS College of Engineering-Kanakapura Road, Bengaluru",EC,Electronics & Communication Engineering,GM,18,16,160000,12110,172110,83993,107673,,,
COMEDK,2025,E011,"APS College of Engineering-Kanakapura Road, Bengaluru",EC,Electronics & Communication Engineering,KKR,18,2,160000,12110,172110,,,,,
COMEDK,2025,E011,"APS College of Engineering-Kanakapura Road, Bengaluru",IS,Information Science & Engineering,GM,18,16,160000,12110,172110,101024,111599,,,
COMEDK,2025,E011,"APS College of Engineering-Kanakapura Road, Bengaluru",IS,Information Science & Engineering,KKR,18,2,160000,12110,172110,,,,,
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",AI,Artificial Intelligence & Machine Learning,GM,36,33,200000,20000,220000,57754,49068,,92297,85194
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",AI,Artificial Intelligence & Machine Learning,KKR,36,3,200000,20000,220000,,106136,106136,,
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",CD,Computer Science & Engineering (Data Science),GM,36,33,200000,20000,220000,,57537,,111230,105457
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",CD,Computer Science & Engineering (Data Science),KKR,36,3,200000,20000,220000,,65760,,,
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",CS,Computer Science & Engineering,GM,144,132,200000,20000,220000,,55167,,85478,99556
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",CS,Computer Science & Engineering,KKR,144,12,200000,20000,220000,,89608,71316,,
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",CV,Civil Engineering,GM,9,8,200000,20000,220000,94732,108782,,,
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",CV,Civil Engineering,KKR,9,1,200000,20000,220000,,,,,
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",EC,Electronics & Communication Engineering,GM,54,49,200000,20000,220000,109370,80362,,110946,110946
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",EC,Electronics & Communication Engineering,KKR,54,5,200000,20000,220000,,,,,
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",IS,Information Science & Engineering,GM,54,49,200000,20000,220000,84420,67054,,109052,53093
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",IS,Information Science & Engineering,KKR,54,5,200000,20000,220000,,,,,
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",ME,Mechanical Engineering,GM,9,8,200000,20000,220000,97836,96855,,,
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",ME,Mechanical Engineering,KKR,9,1,200000,20000,220000,,,,,
